Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2872,13,1990
2,Kramnik Vladimir,g,RUS,2810,0,1975
3,Aronian Levon,g,ARM,2809,13,1982
4,Radjabov Teimour,g,AZE,2793,0,1987
5,Karjakin Sergey,g,RUS,2786,13,1990
6,Anand Viswanathan,g,IND,2780,13,1969
7,Topalov Veselin,g,BUL,2771,0,1975
8,Nakamura Hikaru,g,USA,2767,13,1987
9,Mamedyarov Shakhriyar,g,AZE,2766,0,1985
10,Grischuk Alexander,g,RUS,2764,0,1983
11,Ivanchuk Vassily,g,UKR,2758,0,1969
12,Morozevich Alexander,g,RUS,2758,0,1977
13,Caruana Fabiano,g,ITA,2757,13,1992
14,Svidler Peter,g,RUS,2747,0,1976
15,Leko Peter,g,HUN,2744,13,1979
16,Wang Hao,g,CHN,2743,13,1989
17,Gelfand Boris,g,ISR,2740,0,1968
18,Kamsky Gata,g,USA,2740,0,1974
19,Gashimov Vugar,g,AZE,2737,0,1986
20,Jakovenko Dmitry,g,RUS,2734,0,1983
21,Ponomariov Ruslan,g,UKR,2733,0,1983
22,Andreikin Dmitry,g,RUS,2727,0,1990
23,Adams Michael,g,ENG,2725,0,1971
24,Dominguez Perez Leinier,g,CUB,2723,6,1983
25,Giri Anish,g,NED,2722,13,1994
26,Tomashevsky Evgeny,g,RUS,2722,0,1987
27,Volokitin Andrei,g,UKR,2722,0,1986
28,Areshchenko Alexander,g,UKR,2720,0,1986
29,Naiditsch Arkadij,g,GER,2716,13,1985
30,Vachier-Lagrave Maxime,g,FRA,2715,12,1990
31,Wojtaszek Radoslaw,g,POL,2710,10,1987
32,Navara David,g,CZE,2710,0,1985
33,Shirov Alexei,g,LAT,2709,7,1972
34,Cheparinov Ivan,g,BUL,2709,0,1986
35,Ding Liren,g,CHN,2709,0,1992
36,Kasimdzhanov Rustam,g,UZB,2709,0,1979
37,Malakhov Vladimir,g,RUS,2709,0,1980
38,Bruzon Batista Lazaro,g,CUB,2707,15,1982
39,Wang Yue,g,CHN,2706,4,1987
40,Fressinet Laurent,g,FRA,2706,0,1981
41,Harikrishna P.,g,IND,2705,13,1986
42,Le Quang Liem,g,VIE,2705,0,1991
43,Riazantsev Alexander,g,RUS,2705,0,1985
44,Bacrot Etienne,g,FRA,2704,7,1983
45,Akopian Vladimir,g,ARM,2704,0,1971
46,Moiseenko Alexander,g,UKR,2703,0,1980
47,Nepomniachtchi Ian,g,RUS,2703,0,1990
48,Korobov Anton,g,UKR,2702,10,1985
49,Berkes Ferenc,g,HUN,2702,0,1985
50,Jobava Baadur,g,GEO,2702,0,1983
51,McShane Luke J,g,ENG,2698,0,1984
52,Efimenko Zahar,g,UKR,2696,0,1985
53,Polgar Judit,g,HUN,2696,0,1976
54,Movsesian Sergei,g,ARM,2695,13,1978
55,Alekseev Evgeny,g,RUS,2695,10,1985
56,Vallejo Pons Francisco,g,ESP,2694,0,1982
57,Vitiugov Nikita,g,RUS,2694,0,1987
58,Grachev Boris,g,RUS,2693,14,1986
59,Short Nigel D,g,ENG,2690,0,1965
60,Almasi Zoltan,g,HUN,2689,0,1976
61,Inarkiev Ernesto,g,RUS,2688,0,1985
62,Rublevsky Sergei,g,RUS,2688,0,1974
63,Yu Yangyi,g,CHN,2688,0,1994
64,Li Chao b,g,CHN,2686,21,1989
65,Van Wely Loek,g,NED,2684,13,1972
66,So Wesley,g,PHI,2684,4,1993
67,Sutovsky Emil,g,ISR,2684,0,1977
68,Gareev Timur,g,USA,2682,9,1988
69,Bologan Viktor,g,MDA,2681,0,1971
70,Edouard Romain,g,FRA,2680,25,1990
71,Eljanov Pavel,g,UKR,2678,0,1983
72,Sasikiran Krishnan,g,IND,2677,10,1981
73,Nisipeanu Liviu-Dieter,g,ROU,2677,0,1976
74,Motylev Alexander,g,RUS,2676,0,1979
75,Bu Xiangzhi,g,CHN,2675,0,1985
76,Gyimesi Zoltan,g,HUN,2674,0,1977
77,Laznicka Viktor,g,CZE,2674,0,1988
78,Fridman Daniel,g,GER,2667,0,1976
79,Kryvoruchko Yuriy,g,UKR,2666,0,1986
80,Sargissian Gabriel,g,ARM,2666,0,1983
81,Potkin Vladimir,g,RUS,2665,0,1982
82,Petrosian Tigran L.,g,ARM,2663,9,1984
83,Onischuk Alexander,g,USA,2663,5,1975
84,Gharamian Tigran,g,FRA,2661,0,1984
85,Zvjaginsev Vadim,g,RUS,2658,0,1976
86,Istratescu Andrei,g,FRA,2657,14,1975
87,Zhigalko Sergei,g,BLR,2656,10,1989
88,Nielsen Peter Heine,g,DEN,2656,0,1973
89,Khismatullin Denis,g,RUS,2655,9,1984
90,Ragger Markus,g,AUT,2655,0,1988
91,Smirin Ilia,g,ISR,2654,9,1968
92,Dreev Aleksey,g,RUS,2654,0,1969
93,Matlakov Maxim,g,RUS,2653,0,1991
94,Filippov Anton,g,UZB,2652,0,1986
95,Kobalia Mikhail,g,RUS,2652,0,1978
96,Mamedov Rauf,g,AZE,2651,0,1988
97,Tiviakov Sergei,g,NED,2650,13,1973
98,Khairullin Ildar,g,RUS,2650,0,1990
99,Tkachiev Vladislav,g,FRA,2650,0,1973
100,Kurnosov Igor,g,RUS,2649,7,1985
