"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2876","0","1990"
"2","Caruana, Fabiano","g","ITA","2805","11","1992"
"3","Anand, Viswanathan","g","IND","2804","0","1969"
"4","Nakamura, Hikaru","g","USA","2802","14","1987"
"5","Topalov, Veselin","g","BUL","2798","0","1975"
"6","Kramnik, Vladimir","g","RUS","2783","5","1975"
"7","Grischuk, Alexander","g","RUS","2781","15","1983"
"8","Aronian, Levon","g","ARM","2780","5","1982"
"9","So, Wesley","g","USA","2778","0","1993"
"10","Giri, Anish","g","NED","2773","11","1994"
"11","Jakovenko, Dmitry","g","RUS","2759","17","1983"
"12","Karjakin, Sergey","g","RUS","2753","11","1990"
"13","Gelfand, Boris","g","ISR","2751","11","1968"
"14","Navara, David","g","CZE","2751","9","1985"
"15","Ding, Liren","g","CHN","2749","11","1992"
"16","Wojtaszek, Radoslaw","g","POL","2749","6","1987"
"17","Li, Chao b","g","CHN","2748","0","1989"
"18","Dominguez Perez, Leinier","g","CUB","2746","16","1983"
"19","Tomashevsky, Evgeny","g","RUS","2745","11","1987"
"20","Svidler, Peter","g","RUS","2740","17","1976"
"21","Adams, Michael","g","ENG","2740","0","1971"
"22","Radjabov, Teimour","g","AZE","2738","0","1987"
"23","Mamedyarov, Shakhriyar","g","AZE","2735","0","1985"
"24","Vitiugov, Nikita","g","RUS","2734","5","1987"
"25","Harikrishna, P.","g","IND","2733","0","1986"
"26","Ivanchuk, Vassily","g","UKR","2733","0","1969"
"27","Wang, Yue","g","CHN","2726","7","1987"
"28","Vachier-Lagrave, Maxime","g","FRA","2723","13","1990"
"29","Naiditsch, Arkadij","g","GER","2722","2","1985"
"30","Wei, Yi","g","CHN","2721","11","1999"
"31","Nepomniachtchi, Ian","g","RUS","2720","7","1990"
"32","Fressinet, Laurent","g","FRA","2720","5","1981"
"33","Andreikin, Dmitry","g","RUS","2718","7","1990"
"34","Eljanov, Pavel","g","UKR","2718","1","1983"
"35","Yu, Yangyi","g","CHN","2715","11","1994"
"36","Leko, Peter","g","HUN","2714","0","1979"
"37","Morozevich, Alexander","g","RUS","2711","0","1977"
"38","Ponomariov, Ruslan","g","UKR","2711","0","1983"
"39","Moiseenko, Alexander","g","UKR","2707","0","1980"
"40","Wang, Hao","g","CHN","2704","11","1989"
"41","Kasimdzhanov, Rustam","g","UZB","2704","9","1979"
"42","Rublevsky, Sergei","g","RUS","2702","6","1974"
"43","Ni, Hua","g","CHN","2701","0","1983"
"44","Almasi, Zoltan","g","HUN","2700","0","1976"
"45","Shirov, Alexei","g","LAT","2699","7","1972"
"46","Malakhov, Vladimir","g","RUS","2699","5","1980"
"47","Korobov, Anton","g","UKR","2698","7","1985"
"48","Howell, David W L","g","ENG","2698","3","1990"
"49","Matlakov, Maxim","g","RUS","2696","6","1991"
"50","Bu, Xiangzhi","g","CHN","2696","0","1985"
"51","Bacrot, Etienne","g","FRA","2695","11","1983"
"52","Kryvoruchko, Yuriy","g","UKR","2695","3","1986"
"53","Jobava, Baadur","g","GEO","2693","17","1983"
"54","Le, Quang Liem","g","VIE","2693","0","1991"
"55","Vallejo Pons, Francisco","g","ESP","2686","0","1982"
"56","McShane, Luke J","g","ENG","2685","0","1984"
"57","Short, Nigel D","g","ENG","2683","0","1965"
"58","Cheparinov, Ivan","g","BUL","2681","0","1986"
"59","Rodshtein, Maxim","g","ISR","2678","6","1989"
"60","Bruzon Batista, Lazaro","g","CUB","2677","9","1982"
"61","Hammer, Jon Ludvig","g","NOR","2677","5","1990"
"62","Hou, Yifan","g","CHN","2676","9","1994"
"63","Ragger, Markus","g","AUT","2676","9","1988"
"64","Polgar, Judit","g","HUN","2675","0","1976"
"65","Lysyj, Igor","g","RUS","2674","6","1987"
"66","Fedoseev, Vladimir","g","RUS","2674","5","1995"
"67","Robson, Ray","g","USA","2674","0","1994"
"68","Sargissian, Gabriel","g","ARM","2673","0","1983"
"69","Rapport, Richard","g","HUN","2671","0","1996"
"70","Kamsky, Gata","g","USA","2669","16","1974"
"71","Inarkiev, Ernesto","g","RUS","2668","6","1985"
"72","Berkes, Ferenc","g","HUN","2664","9","1985"
"73","Negi, Parimarjan","g","IND","2664","0","1993"
"74","Smirin, Ilia","g","ISR","2663","1","1968"
"75","Sjugirov, Sanan","g","RUS","2662","7","1993"
"76","Ivanisevic, Ivan","g","SRB","2662","6","1977"
"77","Nguyen, Ngoc Truong Son","g","VIE","2662","0","1990"
"78","Onischuk, Alexander","g","USA","2662","0","1975"
"79","Dubov, Daniil","g","RUS","2661","5","1996"
"80","Najer, Evgeniy","g","RUS","2661","5","1977"
"81","Artemiev, Vladislav","g","RUS","2660","7","1998"
